filelink	include	beginn	ende	dauer_norm	dauer_bemerkung	gehalt_norm	gehalt_text	umfang_text	umfang_prozent	umfang_sws	umfang_stunden	jahr	datum	domain	domain_lit	domain_ling	domain_mkw	domain_fdid	domain_spr	domain_other	lang	lang_frz	lang_spa	lang_ita	lang_por	lang_rom	lang_okz	lang_kat	lang_eng	lang_other	lang_diverse	account	redaktion	title	position_lektorat	position_lfba	position_rat	position_projekt	position_wma	position_diss	position_postdoc		stadt	land
stellenanzeigen/311.html	1	2014-10-01	2016-09-30	24		E13	TV-L E 13	39h50min / 12 SWS	100	12	N/A	2014	04. Juli 2014	Fachdidaktik	0	0	0	1	0	0	Französisch, Italienisch, Spanisch	1	1	1	0	0	0	0	0	0	0	3980-Karin_Otte	13-Christof_SchOech	Lehrkraft für besondere Aufgaben für die Didaktik der romanischen Sprachen und Literaturen	0	1	0	0	0	0	0		Münster	DE
stellenanzeigen/713.html	0	2015-08-01	N/A	N/A			N/A	4 - 6 SWS	N/A	6	N/A	2015	12. Februar 2015	Sprachpraxis	0	0	0	0	1	0	Portugiesisch	0	0	0	1	0	0	0	0	0	0	4275-Nicoletta_Rivetto	4235-Stefanie_Popp	Dozentin/Dozent für Brasilianisch-Portugiesisch	0	0	0	0	0	0	0		Zürich 	CH
stellenanzeigen/3096.html	1	2018-10-01	N/A	120	unbefristet	A14	A 13/14 bzw. E 13/14 TV-L	40 (100%)	100	N/A	N/A	2018	29. März 2018	Sprachpraxis	0	0	0	0	1	0	Französisch	1	0	0	0	0	0	0	0	0	0	N/A	5028-Marcel_Schmitt	Leitung der Abteilung Französisch	0	0	0	0	0	0	0		Erlangen	DE
stellenanzeigen/1740.html	0	2016-10-01	2022-09-30	72			Universitäten-KV: B1	40 / 16 SWS	N/A	16	N/A	2016	19. Mai 2016	Sprachpraxis	0	0	0	0	1	0	Französisch	1	0	0	0	0	0	0	0	0	0	3773-Sonja_Humbel_Pain	13-Christof_SchOech	Lecturer Sprachvermittlung Französisch	0	0	0	0	0	0	0		Graz, Österreich	AT
stellenanzeigen/567.html	0	2015-03-01	2016-02-29	12			N/A	40 h	N/A	N/A	N/A	2014	25. November 2014	Sprachwissenschaft	0	1	0	0	0	0	Französisch	1	0	0	0	0	0	0	0	0	0	3767-Sylvia_Jutz	13-Christof_SchOech	Senior Scientist (Französische Sprachwissenschaft), Karenzvertretung	0	0	0	0	0	0	0		Salzburg, Österreich	AT
stellenanzeigen/4729.html	0	2021-03-01	2027-02-28	72			B1 lit. b (postdoc)	40 h/Woche	N/A	N/A	N/A	2020	01. September 2020	Literaturwissenschaft, Medien-/Kulturwissenschaft	1	0	1	0	0	0	Französisch, Spanisch	1	1	0	0	0	0	0	0	0	0	4057-Teresa_Hiergeist	764-Robert_Hesselbach	Universitätsassistent*in Postdoc	0	0	0	0	0	0	1		Wien	AT
stellenanzeigen/5219.html	0	2021-09-01	2025-08-31	48			€ 3.946 / Monat (14 mal) brutto	40 Std./Woche (100%)	100	N/A	N/A	2021	26. April 2021	Sprachwissenschaft	0	1	0	0	0	0	Französisch, Italienisch	1	0	1	0	0	0	0	0	0	0	4451-Jannis_Harjus	1903-Christoph_Behrens	UniversitätsassistentIn (Postdoc) für französische und italienische Linguistik (100%)	0	0	0	0	0	0	1		Innsbruck	AT
stellenanzeigen/3480.html	0	N/A	N/A	N/A			Universitäten-KV: B1	40 Stunden / Woche	N/A	N/A	40	2018	19. Oktober 2018	Sprachwissenschaft	0	1	0	0	0	0	Französisch, Italienisch	1	0	1	0	0	0	0	0	0	0	3773-Sonja_Humbel_Pain	13-Christof_SchOech	Universitätsassistent/in mit Doktorat	0	0	0	0	0	0	0		Graz, Österreich	AT
stellenanzeigen/974.html	1	2015-10-01	2016-03-31	6		E13	TVL-13	40 Stunden/ Woche	100	N/A	40	2015	21. Mai 2015	Literaturwissenschaft	1	0	0	0	0	0	Spanisch	0	1	0	0	0	0	0	0	0	0	2885-Hanno_Ehrlicher	4235-Stefanie_Popp	Wissenschaftlicher Mitarbeiter/-in zur Vetretung	0	0	0	0	1	0	0		Universität Augsburg	DE
stellenanzeigen/4425.html	0	2020-09-02	2024-08-31	48			brutto € 3.890 / Monat (14 mal)*	40 Stunden/Woche	N/A	N/A	40	2020	18. Februar 2020	N/A	0	0	0	0	0	0	N/A	0	0	0	0	0	0	0	0	0	0	5664-Stella_Lange	1903-Christoph_Behrens	UniversitätsassistentIn - Postdoc, Romanische Literatur- und Kulturwissenschaften (Schwerpunkt Italienisch) und ihre Didaktik (Literatur- und Mediendidaktik)	0	0	0	0	0	0	1		Innsbruck (Österreich)	AT
stellenanzeigen/364.html	0	2014-10-01	2018-09-30	48			Gehaltsschema des Universitäten-KV: B1	40 Stunden/Woche	N/A	N/A	40	2014	31. Juli 2014	Sprachpraxis	0	0	0	0	1	0	Italienisch	0	0	1	0	0	0	0	0	0	0	3773-Sonja_Humbel_Pain	13-Christof_SchOech	Lecturer, Sprachvermittlung Italienisch	0	0	0	0	0	0	0		Graz, Österreich	AT
stellenanzeigen/3459.html	0	2018-11-15	2022-11-14	49			Einstufung gemäß Kollektivvertrag: §48 VwGr. B1 lit. b (postdoc)	40 Stunden/Woche	N/A	N/A	40	2018	05. Oktober 2018	Sprachwissenschaft	0	1	0	0	0	0	Französisch, Spanisch	1	1	0	0	0	0	0	0	0	0	1392-Elissa_Pustka	4-Lars_Schneider	Universitätsassistent/in (&quot;post doc&quot;) Sprachwissenschaft Französisch/Spanisch	0	0	0	0	0	0	1		Wien	AT
stellenanzeigen/2567.html	0	2017-09-01	2023-08-31	72			brutto € 3.627 / Monat (14 mal) 	40 Stunden/Woche	N/A	N/A	40	2017	13. Juni 2017	Sprachwissenschaft, Fachdidaktik	0	1	0	1	0	0	Französisch	1	0	0	0	0	0	0	0	0	0	4451-Jannis_Harjus	5028-Marcel_Schmitt	UniversitätsassistentIn - Postdoc Französisch (50% Romanistik, 50%, Institut für Fachdidaktik, Bereich Didaktik der Sprachen)	0	0	0	0	0	0	1		Innsbruck, Österreich	AT
stellenanzeigen/5169.html	0	2021-10-01	2027-10-01	73			Einstiegsgehalt von brutto € 3.946 / Monat (14 mal). 	40 Stunden/Woche	N/A	N/A	40	2021	06. April 2021	Sprachwissenschaft	0	1	0	0	0	0	Sprachübergreifend	0	0	0	0	0	0	0	0	0	1	7301-Saverio_Carpentieri	764-Robert_Hesselbach	QV-Stelle Terminologie oder Sprachtechnologie am Institut für Translationswissenschaft der Leopold-Franzens-Universität Innsbruck	0	0	0	0	0	0	0		Innsbruck	AT
